datetime,open,high,low,close,volume
11/1/17 5:00,182.36,182.9,180.57,182.66,40918341
11/2/17 5:00,180.63,181.94,177.34,178.92,35529893
11/3/17 5:00,179.29,179.86,176.71,178.92,17822131
11/6/17 6:00,178.56,180.45,178.31,180.17,13312741
11/7/17 6:00,180.5,180.7478,178.96,180.25,12928182
11/8/17 6:00,179.79,180.35,179.11,179.56,10494149
11/9/17 6:00,178.31,179.4,177.09,179.3,12610335
11/10/17 6:00,178.35,179.0999,177.96,178.46,11070189
11/13/17 6:00,177.5,179.04,177.3,178.77,9523447
11/14/17 6:00,178.13,178.97,177.18,178.07,9585868
11/15/17 6:00,176.66,178.57,176.4,177.95,10253667
11/16/17 6:00,178.76,179.83,178.5,179.59,15607582
11/17/17 6:00,179.3,179.98,178.9,179,13017980
11/20/17 6:00,178.87,179.5,178.1,178.74,10052391
11/21/17 6:00,179.15,181.89,178.99,181.86,14503990
11/22/17 6:00,181.3,181.73,180.44,180.87,10376329
11/24/17 6:00,180.4,183.15,180.29,182.78,9426283
11/27/17 6:00,182.56,183.73,181.99,183.03,12344516
11/28/17 6:00,183.51,184.25,182.09,182.42,14379674
11/29/17 6:00,181.89,181.97,174,175.13,41933484
11/30/17 6:00,176.85,178.275,175.2,177.18,25307601
12/1/17 6:00,176.03,177.48,172.34,175.1,20182523
12/4/17 6:00,176.29,176.57,170.79,171.47,24459422
12/5/17 6:00,170.45,175.38,169.01,172.83,20184908
12/6/17 6:00,172.5,176.77,171.9,176.06,20255846
12/7/17 6:00,175.8,180.39,175.8,180.14,20404533
12/8/17 6:00,181.53,182.28,178.7401,179,19883764
12/11/17 6:00,179.3,180.22,178.8,179.04,13168575
12/12/17 6:00,178.6,179.18,176.6,176.96,16854098
12/13/17 6:00,177.3,179.16,177.25,178.3,14615718
12/14/17 6:00,178.29,180.3601,177.68,178.39,13590999
12/15/17 6:00,179.02,180.4934,178.36,180.18,28463101
12/18/17 6:00,181.01,181.3,179.75,180.82,17265376
12/19/17 6:00,179.95,180.08,178.22,179.51,14920582
12/20/17 6:00,179.81,179.81,177.36,177.89,11860497
12/21/17 6:00,177.94,178.68,177.05,177.45,11600700
12/22/17 6:00,177.14,177.53,176.23,177.2,8509451
12/26/17 6:00,176.63,177,174.67,175.99,8897286
12/27/17 6:00,176.55,178.44,176.26,177.62,9496071
12/28/17 6:00,177.95,178.9367,177.68,177.92,12220760
12/29/17 6:00,178,178.85,176.46,176.46,10261456
1/2/18 6:00,177.68,181.58,177.55,181.42,18151903
1/3/18 6:00,181.88,184.78,181.33,184.67,16886563
1/4/18 6:00,184.9,186.21,184.0996,184.33,13880896
1/5/18 6:00,185.59,186.9,184.93,186.85,13574535
1/8/18 6:00,187.2,188.9,186.33,188.28,17994726
1/9/18 6:00,188.7,188.8,187.1,187.87,12393057
1/10/18 6:00,186.94,187.89,185.63,187.84,10529894
1/11/18 6:00,188.4,188.4,187.38,187.77,9588587
1/12/18 6:00,178.06,181.48,177.4,179.37,77551299
1/16/18 6:00,181.5,181.75,178.04,178.39,36183842
1/17/18 6:00,179.26,179.32,175.8,177.6,27992376
1/18/18 6:00,178.13,180.98,177.08,179.8,23304901
1/19/18 6:00,180.85,182.37,180.1702,181.29,26826540
1/22/18 6:00,180.8,185.39,180.41,185.37,21059464
1/23/18 6:00,186.05,189.55,185.55,189.35,25678781
1/24/18 6:00,189.89,190.66,186.52,186.55,24334548
1/25/18 6:00,187.95,188.62,186.6,187.48,17377740
1/26/18 6:00,187.75,190,186.81,190,17759212
1/29/18 6:00,188.75,188.84,185.6301,185.98,20453172
1/30/18 6:00,183.01,188.18,181.84,187.12,20858556
1/31/18 6:00,188.37,189.83,185.22,186.89,43275144
2/1/18 6:00,188.22,195.32,187.89,193.09,54211293
2/2/18 6:00,192.04,194.21,189.98,190.28,26677484
2/5/18 6:00,186.93,190.61,180.61,181.26,33128206
2/6/18 6:00,178.57,185.77,177.74,185.31,37758505
2/7/18 6:00,184.15,185.0817,179.95,180.18,27601886
2/8/18 6:00,181.01,181.84,171.4815,171.58,38478321
2/9/18 6:00,174.76,176.9,167.18,176.11,39887626
2/12/18 6:00,177.06,177.545,171.84,176.41,32092133
2/13/18 6:00,175.62,175.97,173.1,173.15,21809350
2/14/18 6:00,173.45,179.81,173.2119,179.52,28929704
2/15/18 6:00,180.5,180.5,176.84,179.96,20922120
2/16/18 6:00,178.99,179.88,176.3,177.36,21015610
2/20/18 6:00,175.77,177.95,175.11,176.01,21204921
2/21/18 6:00,176.71,181.27,176.4,177.91,23200804
2/22/18 6:00,178.7,180.21,177.41,178.99,18464192
2/23/18 6:00,179.9,183.39,179.51,183.29,19007288
2/26/18 6:00,184.58,185.66,183.2228,184.93,17599703
2/27/18 6:00,184.45,184.7,181.46,181.46,15849806
2/28/18 6:00,182.3,182.88,178.14,178.32,18783039
3/1/18 6:00,179.01,180.12,174.41,175.94,23201626
3/2/18 6:00,173.29,177.11,172.99,176.62,20025905
3/5/18 6:00,176.2,181.1475,175.89,180.4,16189280
3/6/18 6:00,181.78,182.38,179.11,179.78,15086784
3/7/18 6:00,178.74,183.82,178.07,183.71,19097293
3/8/18 6:00,183.56,184.4,181.45,182.34,17225946
3/9/18 6:00,183.91,185.51,183.21,185.23,18526292
3/12/18 5:00,185.23,186.1,184.22,184.76,15301229
3/13/18 5:00,185.61,185.99,181.11,181.88,18067477
3/14/18 5:00,182.6,184.25,181.85,184.19,16821728
3/15/18 5:00,183.24,184,182.19,183.86,15645035
3/16/18 5:00,184.49,185.33,183.41,185.09,24403438
3/19/18 5:00,177.01,177.17,170.06,172.56,88140060
3/20/18 5:00,167.47,170.2,161.95,168.15,129851768
3/21/18 5:00,164.8,173.4,163.3,169.39,106598834
3/22/18 5:00,166.13,170.27,163.72,164.89,73742979
3/23/18 5:00,165.44,167.1,159.02,159.39,53609706
3/26/18 5:00,160.82,161.1,149.02,160.06,126116634
3/27/18 5:00,156.31,162.85,150.75,152.22,79116995
3/28/18 5:00,151.65,155.88,150.8,153.03,60029170
3/29/18 5:00,155.15,161.42,154.14,159.79,59434293
4/2/18 5:00,157.81,159.2,154.111,155.39,36795991
4/3/18 5:00,156.55,157.39,150.81,156.11,42543865
4/4/18 5:00,152.025,155.56,150.51,155.1,49885584
4/5/18 5:00,161.56,161.575,156.65,159.34,41449609
4/6/18 5:00,157.73,161.42,156.81,157.2,41644812
4/9/18 5:00,157.82,160.53,156.04,157.93,34915227
4/10/18 5:00,157.93,165.98,157.01,165.04,58947041
4/11/18 5:00,165.36,168.65,163.25,166.32,56144633
4/12/18 5:00,166.98,167.45,163.1,163.87,38262956
4/13/18 5:00,164.58,165.7036,163.77,164.52,19990561
4/16/18 5:00,165.7249,165.78,163.39,164.83,18119435
4/17/18 5:00,165.83,169,165.66,168.66,22743029
4/18/18 5:00,166.88,168.12,165.77,166.36,20969568
4/19/18 5:00,166.2,168.33,165.2,168.1,22234961
4/20/18 5:00,167.79,168.43,165.81,166.28,19119438
4/23/18 5:00,167.27,168.45,165.09,165.84,23088102
4/24/18 5:00,165.43,166.1,158.19,159.69,35079926
4/25/18 5:00,160.1448,161.06,156.19,159.69,41083581
4/26/18 5:00,173.22,176.27,170.8,174.16,77556934
4/27/18 5:00,176.81,177.1,172.6,173.59,29804657
4/30/18 5:00,173.79,175.72,171.71,172,20750478
5/1/18 5:00,172,174.02,170.23,173.86,26025932
5/2/18 5:00,174.246,178.08,174.2,176.07,30424450
5/3/18 5:00,175.13,176.12,172.12,174.02,24026071
5/4/18 5:00,173.08,176.98,173.06,176.61,17677844
5/7/18 5:00,177.35,179.5,177.17,177.97,18697195
5/8/18 5:00,178.25,179.04,177.11,178.92,15577211
5/9/18 5:00,179.67,183.01,178.7807,182.66,23282811
5/10/18 5:00,183.15,186.1292,182.5,185.53,21071403
5/11/18 5:00,184.85,188.32,184.18,186.99,21207848
5/14/18 5:00,187.71,187.86,186.2,186.64,15646744
5/15/18 5:00,184.88,185.29,183.2,184.32,15429433
5/16/18 5:00,183.6952,184.32,182.66,183.2,16975495
5/17/18 5:00,182.68,184.06,182.22,183.76,14840675
5/18/18 5:00,183.49,184.19,182.61,182.68,13130451
5/21/18 5:00,183.77,185.3,183.13,184.49,13532864
5/22/18 5:00,184.93,185.42,183.43,183.8,12731419
5/23/18 5:00,182.5,186.91,182.18,186.9,16628100
5/24/18 5:00,185.88,186.8,185.03,185.93,12354742
5/25/18 5:00,186.02,186.33,184.45,184.92,10965061
5/29/18 5:00,184.34,186.81,183.71,185.74,16398937
5/30/18 5:00,186.54,188,185.25,187.67,13736866
5/31/18 5:00,187.87,192.72,187.48,191.78,30782631
6/1/18 5:00,193.065,194.5492,192.07,193.99,17307245
6/4/18 5:00,191.84,193.98,191.47,193.28,18939795
6/5/18 5:00,194.3,195,192.62,192.94,15544294
6/6/18 5:00,191.0252,192.53,189.11,191.34,22558920
6/7/18 5:00,190.75,190.97,186.77,188.18,21503171
6/8/18 5:00,187.53,189.4754,186.43,189.1,12677092
6/11/18 5:00,188.81,192.6,188.8,191.54,12928907
6/12/18 5:00,192.17,193.28,191.56,192.4,11562704
6/13/18 5:00,192.74,194.5,191.91,192.41,15853821
6/14/18 5:00,193.1,197.28,192.91,196.81,19120866
6/15/18 5:00,195.79,197.07,194.64,195.85,21860931
6/18/18 5:00,194.8,199.58,194.13,198.31,16826023
6/19/18 5:00,196.2352,197.96,193.79,197.49,19993996
6/20/18 5:00,199.1,203.55,198.805,202,28230933
6/21/18 5:00,202.76,203.39,200.09,201.5,19045717
